tag,module_name,rtl_path,total_cells,flop_cells,comb_cells,min_bits,max_bits,n_levels,input_bits,acc_guard,avg_bits_per_tap,rms_error_wideband,snr_db_wideband,stopband_atten_db,passband_ripple_db,bit_widths
b_s_lo13_hi14_lv4_i13_g4,fir_b_s_lo13_hi14_lv4_i13_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi14_lv4_i13_g4.v,9662,259,9403,13,14,4,13,4,13.555555555555555,0.0002585441920798821,61.29319884324771,36.93751570684481,0.39022683105991746,"14,13,14,13,14,13,14,14,13"
b_s_lo13_hi14_lv4_i13_g2,fir_b_s_lo13_hi14_lv4_i13_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi14_lv4_i13_g2.v,9665,259,9406,13,14,4,13,2,13.555555555555555,0.0002585441920798821,61.29319884324771,36.93751570684481,0.39022683105991746,"14,13,14,13,14,13,14,14,13"
b_s_lo12_hi16_lv3_i13_g2,fir_b_s_lo12_hi16_lv3_i13_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi16_lv3_i13_g2.v,9745,255,9490,12,16,3,13,2,14.0,0.0002665679973643735,61.02773438263024,36.90130947645222,0.39030117956278065,"14,12,16,14,16,12,16,14,12"
b_s_lo12_hi16_lv3_i13_g4,fir_b_s_lo12_hi16_lv3_i13_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi16_lv3_i13_g4.v,9838,255,9583,12,16,3,13,4,14.0,0.0002665679973643735,61.02773438263024,36.90130947645222,0.39030117956278065,"14,12,16,14,16,12,16,14,12"
b_s_lo13_hi15_lv4_i13_g2,fir_b_s_lo13_hi15_lv4_i13_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi15_lv4_i13_g2.v,9861,255,9606,13,15,4,13,2,14.0,0.00021220854287311083,63.008637302384,36.814811475360855,0.39016785529427567,"14,14,14,14,15,13,15,14,13"
b_s_lo13_hi15_lv4_i13_g4,fir_b_s_lo13_hi15_lv4_i13_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi15_lv4_i13_g4.v,9873,255,9618,13,15,4,13,4,14.0,0.00021220854287311083,63.008637302384,36.814811475360855,0.39016785529427567,"14,14,14,14,15,13,15,14,13"
b_s_lo12_hi15_lv3_i13_g4,fir_b_s_lo12_hi15_lv3_i13_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi15_lv3_i13_g4.v,9882,255,9627,12,15,3,13,4,13.666666666666666,0.0002687148874956675,60.958060005721535,36.87565137229133,0.3900994282952063,"14,12,15,14,15,12,15,14,12"
b_s_lo12_hi15_lv4_i14_g4,fir_b_s_lo12_hi15_lv4_i14_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi15_lv4_i14_g4.v,9882,277,9605,12,15,4,14,4,13.555555555555555,0.0002882526755339861,60.34842762702187,36.70091561926532,0.3896337188927606,"14,13,14,13,15,12,15,14,12"
b_s_lo12_hi15_lv3_i13_g2,fir_b_s_lo12_hi15_lv3_i13_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi15_lv3_i13_g2.v,9905,255,9650,12,15,3,13,2,13.666666666666666,0.0002687148874956675,60.958060005721535,36.87565137229133,0.3900994282952063,"14,12,15,14,15,12,15,14,12"
b_s_lo12_hi15_lv4_i14_g2,fir_b_s_lo12_hi15_lv4_i14_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi15_lv4_i14_g2.v,9952,277,9675,12,15,4,14,2,13.555555555555555,0.0002882526755339861,60.34842762702187,36.70091561926532,0.3896337188927606,"14,13,14,13,15,12,15,14,12"
b_s_lo12_hi14_lv3_i14_g4,fir_b_s_lo12_hi14_lv3_i14_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi14_lv3_i14_g4.v,10051,278,9773,12,14,3,14,4,13.0,0.00029125073102103885,60.25855408658809,36.64441821760706,0.3900362953723182,"13,12,14,13,14,12,14,13,12"
b_s_lo11_hi15_lv4_i14_g2,fir_b_s_lo11_hi15_lv4_i14_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo11_hi15_lv4_i14_g2.v,10070,277,9793,11,15,4,14,2,13.11111111111111,0.0002882526755339861,60.34842762702187,36.70091561926532,0.3896337188927606,"14,12,14,12,15,11,15,14,11"
b_s_lo11_hi15_lv4_i14_g4,fir_b_s_lo11_hi15_lv4_i14_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo11_hi15_lv4_i14_g4.v,10080,277,9803,11,15,4,14,4,13.11111111111111,0.0002882526755339861,60.34842762702187,36.70091561926532,0.3896337188927606,"14,12,14,12,15,11,15,14,11"
b_s_lo13_hi16_lv3_i13_g4,fir_b_s_lo13_hi16_lv3_i13_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi16_lv3_i13_g4.v,10091,255,9836,13,16,3,13,4,14.333333333333334,0.00019075401104151442,63.934420993082256,37.038024565461015,0.3904918853093552,"14,13,16,14,16,13,16,14,13"
b_s_lo12_hi14_lv3_i14_g2,fir_b_s_lo12_hi14_lv3_i14_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi14_lv3_i14_g2.v,10100,278,9822,12,14,3,14,2,13.0,0.00029125073102103885,60.25855408658809,36.64441821760706,0.3900362953723182,"13,12,14,13,14,12,14,13,12"
b_s_lo13_hi15_lv3_i13_g4,fir_b_s_lo13_hi15_lv3_i13_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi15_lv3_i13_g4.v,10123,255,9868,13,15,3,13,4,14.0,0.0001977517576452925,63.62148752319445,36.96297048562493,0.3902900138543355,"14,13,15,14,15,13,15,14,13"
b_s_lo13_hi14_lv3_i13_g4,fir_b_s_lo13_hi14_lv3_i13_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi14_lv3_i13_g4.v,10126,255,9871,13,14,3,13,4,13.666666666666666,0.00021497359667417367,62.896192116335314,36.96300214090565,0.39441216883680175,"14,13,14,14,14,13,14,14,13"
b_s_lo13_hi15_lv3_i13_g2,fir_b_s_lo13_hi15_lv3_i13_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi15_lv3_i13_g2.v,10127,255,9872,13,15,3,13,2,14.0,0.0001977517576452925,63.62148752319445,36.96297048562493,0.3902900138543355,"14,13,15,14,15,13,15,14,13"
b_s_lo13_hi16_lv3_i13_g2,fir_b_s_lo13_hi16_lv3_i13_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi16_lv3_i13_g2.v,10136,255,9881,13,16,3,13,2,14.333333333333334,0.00019075401104151442,63.934420993082256,37.038024565461015,0.3904918853093552,"14,13,16,14,16,13,16,14,13"
b_s_lo13_hi14_lv3_i13_g2,fir_b_s_lo13_hi14_lv3_i13_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi14_lv3_i13_g2.v,10158,255,9903,13,14,3,13,2,13.666666666666666,0.00021497359667417367,62.896192116335314,36.96300214090565,0.39441216883680175,"14,13,14,14,14,13,14,14,13"
b_s_lo11_hi16_lv4_i14_g2,fir_b_s_lo11_hi16_lv4_i14_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo11_hi16_lv4_i14_g2.v,10190,278,9912,11,16,4,14,2,13.555555555555555,0.0002861705678945721,60.41139526135939,36.67267199899862,0.38983461705806266,"14,13,14,13,16,11,16,14,11"
b_s_lo11_hi16_lv4_i14_g4,fir_b_s_lo11_hi16_lv4_i14_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo11_hi16_lv4_i14_g4.v,10195,278,9917,11,16,4,14,4,13.555555555555555,0.0002861705678945721,60.41139526135939,36.67267199899862,0.38983461705806266,"14,13,14,13,16,11,16,14,11"
b_s_lo12_hi14_lv4_i15_g4,fir_b_s_lo12_hi14_lv4_i15_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi14_lv4_i15_g4.v,10302,295,10007,12,14,4,15,4,13.0,0.00029096373926844614,60.26711718152701,36.69431043612097,0.3930938718596422,"13,13,13,13,14,12,14,13,12"
b_s_lo13_hi14_lv4_i14_g2,fir_b_s_lo13_hi14_lv4_i14_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo13_hi14_lv4_i14_g2.v,10334,278,10056,13,14,4,14,2,13.555555555555555,0.00021084412862113,63.064664334017415,36.93751570684481,0.39022683105991746,"14,13,14,13,14,13,14,14,13"
b_s_lo12_hi14_lv4_i15_g2,fir_b_s_lo12_hi14_lv4_i15_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_b_s_lo12_hi14_lv4_i15_g2.v,10341,295,10046,12,14,4,15,2,13.0,0.00029096373926844614,60.26711718152701,36.69431043612097,0.3930938718596422,"13,13,13,13,14,12,14,13,12"
