tag,module_name,rtl_path,total_cells,flop_cells,comb_cells,coeff_bits,input_bits,acc_guard,avg_bits_per_unique_coeff,rms_error_wideband,snr_db_wideband,stopband_atten_db,passband_ripple_db
b_u_c13_i13_g2,fir_b_u_c13_i13_g2,src/verilog/rtl/fir_b_u_c13_i13_g2.v,9270,259,9011,13,13,2,13.0,0.00028808015941803993,60.35362759446352,36.95545830859591,0.39247483201589084
b_u_c13_i13_g4,fir_b_u_c13_i13_g4,src/verilog/rtl/fir_b_u_c13_i13_g4.v,9288,259,9029,13,13,4,13.0,0.00028808015941803993,60.35362759446352,36.95545830859591,0.39247483201589084
b_u_c13_i14_g4,fir_b_u_c13_i14_g4,src/verilog/rtl/fir_b_u_c13_i14_g4.v,9958,278,9680,13,14,4,13.0,0.00024442250104588485,61.78107089451383,36.95545830859591,0.39247483201589084
b_u_c13_i14_g2,fir_b_u_c13_i14_g2,src/verilog/rtl/fir_b_u_c13_i14_g2.v,10000,278,9722,13,14,2,13.0,0.00024442250104588485,61.78107089451383,36.95545830859591,0.39247483201589084
b_u_c14_i13_g4,fir_b_u_c14_i13_g4,src/verilog/rtl/fir_b_u_c14_i13_g4.v,10020,255,9765,14,13,4,14.0,0.00021497359667417367,62.896192116335314,36.96300214090565,0.39441216883680175
b_u_c14_i13_g2,fir_b_u_c14_i13_g2,src/verilog/rtl/fir_b_u_c14_i13_g2.v,10039,255,9784,14,13,2,14.0,0.00021497359667417367,62.896192116335314,36.96300214090565,0.39441216883680175
b_u_c13_i15_g2,fir_b_u_c13_i15_g2,src/verilog/rtl/fir_b_u_c13_i15_g2.v,10612,297,10315,13,15,2,13.0,0.00023461625133721888,62.136732739970796,36.95545830859591,0.39247483201589084
b_u_c13_i15_g4,fir_b_u_c13_i15_g4,src/verilog/rtl/fir_b_u_c13_i15_g4.v,10619,297,10322,13,15,4,13.0,0.00023461625133721888,62.136732739970796,36.95545830859591,0.39247483201589084
b_u_c14_i14_g2,fir_b_u_c14_i14_g2,src/verilog/rtl/fir_b_u_c14_i14_g2.v,10677,274,10403,14,14,2,14.0,0.00016666556562073222,65.10697695757756,36.96300214090565,0.39441216883680175
b_u_c14_i14_g4,fir_b_u_c14_i14_g4,src/verilog/rtl/fir_b_u_c14_i14_g4.v,10767,274,10493,14,14,4,14.0,0.00016666556562073222,65.10697695757756,36.96300214090565,0.39441216883680175
b_u_c15_i13_g2,fir_b_u_c15_i13_g2,src/verilog/rtl/fir_b_u_c15_i13_g2.v,11000,255,10745,15,13,2,15.0,0.000176317131212434,64.61800434848776,37.17988507284735,0.3890095778103093
b_u_c15_i13_g4,fir_b_u_c15_i13_g4,src/verilog/rtl/fir_b_u_c15_i13_g4.v,11000,255,10745,15,13,4,15.0,0.000176317131212434,64.61800434848776,37.17988507284735,0.3890095778103093
b_u_c13_i16_g2,fir_b_u_c13_i16_g2,src/verilog/rtl/fir_b_u_c13_i16_g2.v,11271,316,10955,13,16,2,13.0,0.0002321489425482161,62.228560372927156,36.95545830859591,0.39247483201589084
b_u_c13_i16_g4,fir_b_u_c13_i16_g4,src/verilog/rtl/fir_b_u_c13_i16_g4.v,11297,316,10981,13,16,4,13.0,0.0002321489425482161,62.228560372927156,36.95545830859591,0.39247483201589084
b_u_c14_i15_g4,fir_b_u_c14_i15_g4,src/verilog/rtl/fir_b_u_c14_i15_g4.v,11450,293,11157,14,15,4,14.0,0.0001497702462361629,66.03538369210871,36.96300214090565,0.39441216883680175
b_u_c14_i15_g2,fir_b_u_c14_i15_g2,src/verilog/rtl/fir_b_u_c14_i15_g2.v,11483,293,11190,14,15,2,14.0,0.0001497702462361629,66.03538369210871,36.96300214090565,0.39441216883680175
b_u_c15_i14_g2,fir_b_u_c15_i14_g2,src/verilog/rtl/fir_b_u_c15_i14_g2.v,11753,274,11479,15,14,2,15.0,0.0001091075310998258,68.78679999612484,37.17988507284735,0.3890095778103093
b_u_c15_i14_g4,fir_b_u_c15_i14_g4,src/verilog/rtl/fir_b_u_c15_i14_g4.v,11787,274,11513,15,14,4,15.0,0.0001091075310998258,68.78679999612484,37.17988507284735,0.3890095778103093
b_u_c16_i13_g2,fir_b_u_c16_i13_g2,src/verilog/rtl/fir_b_u_c16_i13_g2.v,11796,255,11541,16,13,2,16.0,0.00016171196203824698,65.36905164020553,37.12715434083711,0.3891402733941601
b_u_c13_i17_g4,fir_b_u_c13_i17_g4,src/verilog/rtl/fir_b_u_c13_i17_g4.v,11973,335,11638,13,17,4,13.0,0.0002316929779958769,62.245637134991,36.95545830859591,0.39247483201589084
b_u_c16_i13_g4,fir_b_u_c16_i13_g4,src/verilog/rtl/fir_b_u_c16_i13_g4.v,11983,255,11728,16,13,4,16.0,0.00016171196203824698,65.36905164020553,37.12715434083711,0.3891402733941601
b_u_c13_i17_g2,fir_b_u_c13_i17_g2,src/verilog/rtl/fir_b_u_c13_i17_g2.v,11996,335,11661,13,17,2,13.0,0.0002316929779958769,62.245637134991,36.95545830859591,0.39247483201589084
b_u_c14_i16_g2,fir_b_u_c14_i16_g2,src/verilog/rtl/fir_b_u_c14_i16_g2.v,12138,312,11826,14,16,2,14.0,0.00014472650501459494,66.33293307830128,36.96300214090565,0.39441216883680175
b_u_c14_i16_g4,fir_b_u_c14_i16_g4,src/verilog/rtl/fir_b_u_c14_i16_g4.v,12151,312,11839,14,16,4,14.0,0.00014472650501459494,66.33293307830128,36.96300214090565,0.39441216883680175
b_u_c15_i15_g4,fir_b_u_c15_i15_g4,src/verilog/rtl/fir_b_u_c15_i15_g4.v,12565,293,12272,15,15,4,15.0,8.513022652751713e-05,70.94221878771353,37.17988507284735,0.3890095778103093
b_u_c15_i15_g2,fir_b_u_c15_i15_g2,src/verilog/rtl/fir_b_u_c15_i15_g2.v,12578,293,12285,15,15,2,15.0,8.513022652751713e-05,70.94221878771353,37.17988507284735,0.3890095778103093
b_u_c13_i18_g4,fir_b_u_c13_i18_g4,src/verilog/rtl/fir_b_u_c13_i18_g4.v,12615,354,12261,13,18,4,13.0,0.00023188957883782437,62.238269932350995,36.95545830859591,0.39247483201589084
b_u_c13_i18_g2,fir_b_u_c13_i18_g2,src/verilog/rtl/fir_b_u_c13_i18_g2.v,12629,354,12275,13,18,2,13.0,0.00023188957883782437,62.238269932350995,36.95545830859591,0.39247483201589084
b_u_c16_i14_g2,fir_b_u_c16_i14_g2,src/verilog/rtl/fir_b_u_c16_i14_g2.v,12736,274,12462,16,14,2,16.0,8.690593284280057e-05,70.7629060559457,37.12715434083711,0.3891402733941601
b_u_c16_i14_g4,fir_b_u_c16_i14_g4,src/verilog/rtl/fir_b_u_c16_i14_g4.v,12793,274,12519,16,14,4,16.0,8.690593284280057e-05,70.7629060559457,37.12715434083711,0.3891402733941601
b_u_c14_i17_g2,fir_b_u_c14_i17_g2,src/verilog/rtl/fir_b_u_c14_i17_g2.v,12839,331,12508,14,17,2,14.0,0.00014388442371981628,66.3836189340326,36.96300214090565,0.39441216883680175
b_u_c14_i17_g4,fir_b_u_c14_i17_g4,src/verilog/rtl/fir_b_u_c14_i17_g4.v,12890,331,12559,14,17,4,14.0,0.00014388442371981628,66.3836189340326,36.96300214090565,0.39441216883680175
b_u_c15_i16_g4,fir_b_u_c15_i16_g4,src/verilog/rtl/fir_b_u_c15_i16_g4.v,13286,312,12974,15,16,4,15.0,7.800606511885884e-05,71.70132714394809,37.17988507284735,0.3890095778103093
b_u_c15_i16_g2,fir_b_u_c15_i16_g2,src/verilog/rtl/fir_b_u_c15_i16_g2.v,13288,312,12976,15,16,2,15.0,7.800606511885884e-05,71.70132714394809,37.17988507284735,0.3890095778103093
b_u_c16_i15_g4,fir_b_u_c16_i15_g4,src/verilog/rtl/fir_b_u_c16_i15_g4.v,13507,293,13214,16,15,4,16.0,5.052829934140459e-05,75.47320094438622,37.12715434083711,0.3891402733941601
b_u_c16_i15_g2,fir_b_u_c16_i15_g2,src/verilog/rtl/fir_b_u_c16_i15_g2.v,13557,293,13264,16,15,2,16.0,5.052829934140459e-05,75.47320094438622,37.12715434083711,0.3891402733941601
b_u_c14_i18_g2,fir_b_u_c14_i18_g2,src/verilog/rtl/fir_b_u_c14_i18_g2.v,13574,350,13224,14,18,2,14.0,0.00014382074396276142,66.38746394909052,36.96300214090565,0.39441216883680175
