tag,module_name,rtl_path,total_cells,flop_cells,comb_cells,min_bits,max_bits,n_levels,input_bits,acc_guard,avg_bits_per_tap,rms_error_wideband,snr_db_wideband,stopband_atten_db,passband_ripple_db,bit_widths
s_lo13_hi16_lv3_i14_g2,fir_s_lo13_hi16_lv3_i14_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi16_lv3_i14_g2.v,11048,273,10775,13,16,3,14,2,14.333333333333334,0.00023055856957514766,60.67564495827512,41.930918825344165,0.3829536352852734,"14,16,14,14,16,13,16,13,13"
s_lo13_hi16_lv3_i14_g4,fir_s_lo13_hi16_lv3_i14_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi16_lv3_i14_g4.v,11068,273,10795,13,16,3,14,4,14.333333333333334,0.00023055856957514766,60.67564495827512,41.930918825344165,0.3829536352852734,"14,16,14,14,16,13,16,13,13"
s_lo13_hi15_lv3_i14_g4,fir_s_lo13_hi15_lv3_i14_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi15_lv3_i14_g4.v,11221,273,10948,13,15,3,14,4,14.0,0.00023055856957514766,60.67564495827512,41.930918825344165,0.3829536352852734,"14,15,14,14,15,13,15,13,13"
s_lo13_hi15_lv3_i14_g2,fir_s_lo13_hi15_lv3_i14_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi15_lv3_i14_g2.v,11237,273,10964,13,15,3,14,2,14.0,0.00023055856957514766,60.67564495827512,41.930918825344165,0.3829536352852734,"14,15,14,14,15,13,15,13,13"
s_lo13_hi16_lv4_i14_g4,fir_s_lo13_hi16_lv4_i14_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi16_lv4_i14_g4.v,11477,273,11204,13,16,4,14,4,14.555555555555555,0.00021220943075253866,61.395976731502806,41.87696295548154,0.3829210545428301,"15,15,15,14,16,14,16,13,13"
s_lo13_hi15_lv4_i14_g4,fir_s_lo13_hi15_lv4_i14_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi15_lv4_i14_g4.v,11487,273,11214,13,15,4,14,4,14.0,0.00022610526508788547,60.845056830179196,41.97428095413041,0.3811875562577849,"14,14,14,14,15,14,15,13,13"
s_lo13_hi15_lv4_i14_g2,fir_s_lo13_hi15_lv4_i14_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi15_lv4_i14_g2.v,11490,273,11217,13,15,4,14,2,14.0,0.00022610526508788547,60.845056830179196,41.97428095413041,0.3811875562577849,"14,14,14,14,15,14,15,13,13"
s_lo13_hi16_lv4_i14_g2,fir_s_lo13_hi16_lv4_i14_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi16_lv4_i14_g2.v,11494,273,11221,13,16,4,14,2,14.555555555555555,0.00021220943075253866,61.395976731502806,41.87696295548154,0.3829210545428301,"15,15,15,14,16,14,16,13,13"
s_lo13_hi16_lv3_i15_g2,fir_s_lo13_hi16_lv3_i15_g2,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi16_lv3_i15_g2.v,11725,292,11433,13,16,3,15,2,14.333333333333334,0.00022471848060805005,60.8984945430419,41.930918825344165,0.3829536352852734,"14,16,14,14,16,13,16,13,13"
s_lo13_hi16_lv3_i15_g4,fir_s_lo13_hi16_lv3_i15_g4,/home/aarushlenka/GitRepos/sscs-ose-code-a-chip.github.io/ISSCC27/submitted_notebooks/PrecisionFit/precisionfit/src/verilog/rtl/fir_s_lo13_hi16_lv3_i15_g4.v,11824,292,11532,13,16,3,15,4,14.333333333333334,0.00022471848060805005,60.8984945430419,41.930918825344165,0.3829536352852734,"14,16,14,14,16,13,16,13,13"
