tag,module_name,rtl_path,total_cells,flop_cells,comb_cells,coeff_bits,input_bits,acc_guard,avg_bits_per_unique_coeff,rms_error_wideband,snr_db_wideband,stopband_atten_db,passband_ripple_db
u_c14_i13_g4,fir_u_c14_i13_g4,src/verilog/rtl/fir_u_c14_i13_g4.v,11466,254,11212,14,13,4,14.0,0.0002213055431342043,61.03142449864628,41.84392015161637,0.38034153493481837
u_c14_i13_g2,fir_u_c14_i13_g2,src/verilog/rtl/fir_u_c14_i13_g2.v,11499,254,11245,14,13,2,14.0,0.0002213055431342043,61.03142449864628,41.84392015161637,0.38034153493481837
u_c15_i13_g2,fir_u_c15_i13_g2,src/verilog/rtl/fir_u_c15_i13_g2.v,11820,254,11566,15,13,2,15.0,0.0001696729528581883,63.3390179783765,42.114238718262705,0.3820067110998183
u_c15_i13_g4,fir_u_c15_i13_g4,src/verilog/rtl/fir_u_c15_i13_g4.v,11927,254,11673,15,13,4,15.0,0.0001696729528581883,63.3390179783765,42.114238718262705,0.3820067110998183
u_c14_i14_g2,fir_u_c14_i14_g2,src/verilog/rtl/fir_u_c14_i14_g2.v,12276,273,12003,14,14,2,14.0,0.0001671042507909724,63.471520387116634,41.84392015161637,0.38034153493481837
u_c14_i14_g4,fir_u_c14_i14_g4,src/verilog/rtl/fir_u_c14_i14_g4.v,12276,273,12003,14,14,4,14.0,0.0001671042507909724,63.471520387116634,41.84392015161637,0.38034153493481837
u_c15_i14_g2,fir_u_c15_i14_g2,src/verilog/rtl/fir_u_c15_i14_g2.v,12712,273,12439,15,14,2,15.0,9.963721426841739e-05,67.96283880499314,42.114238718262705,0.3820067110998183
u_c15_i14_g4,fir_u_c15_i14_g4,src/verilog/rtl/fir_u_c15_i14_g4.v,12757,273,12484,15,14,4,15.0,9.963721426841739e-05,67.96283880499314,42.114238718262705,0.3820067110998183
u_c14_i15_g2,fir_u_c14_i15_g2,src/verilog/rtl/fir_u_c14_i15_g2.v,13017,292,12725,14,15,2,14.0,0.00015587840738146903,64.07555114045444,41.84392015161637,0.38034153493481837
u_c14_i15_g4,fir_u_c14_i15_g4,src/verilog/rtl/fir_u_c14_i15_g4.v,13032,292,12740,14,15,4,14.0,0.00015587840738146903,64.07555114045444,41.84392015161637,0.38034153493481837
u_c16_i13_g4,fir_u_c16_i13_g4,src/verilog/rtl/fir_u_c16_i13_g4.v,13087,254,12833,16,13,4,16.0,0.00016307474256985072,63.683536306756935,42.28953658738163,0.38400340711078507
u_c16_i13_g2,fir_u_c16_i13_g2,src/verilog/rtl/fir_u_c16_i13_g2.v,13113,254,12859,16,13,2,16.0,0.00016307474256985072,63.683536306756935,42.28953658738163,0.38400340711078507
u_c15_i15_g2,fir_u_c15_i15_g2,src/verilog/rtl/fir_u_c15_i15_g2.v,13523,292,13231,15,15,2,15.0,7.331870358628116e-05,70.62697479493275,42.114238718262705,0.3820067110998183
